comp_name,exp_req,job_desp,job_desp_page,job_title,key_skills,loc,sal
Talentex Services Pvt Ltd.,11-20 yrs,The person should have experience of 7-9 years using analytics in Insurance projects;The person should ...,https://www.naukri.com/job-listings-AVP-Insurance-Analytics-AVP-Analytics-Retail-Telecom-for-Gurgaon-Talentex-Services-Pvt-Ltd-Gurgaon-11-to-20-years-290918005090?src=jobsearchDesk&sid=1538417896860&xp=40&px=1,AVP Insurance Analytics/ AVP Analytics( Retail / Telecom) for Gurgaon,"insurance analytics, predictive analytics, data analytics, sas...",Gurgaon,"    22,50,000 - 30,00,000 P.A.  "
Brainsearch Consulting Pvt Ltd.,15-18 yrs,"- Experience working with modern web technologies;- Experience architecting and developing high-volume, ...",https://www.naukri.com/job-listings-Technical-Architect-net-C-Brainsearch-Consulting-Pvt-Ltd-Gurgaon-Noida-15-to-18-years-280918901183?src=jobsearchDesk&sid=1538417896860&xp=41&px=1,Technical Architect - .net/ C#,"C#, Design Patterns, UML, .Net, OOAD, Software Architecture, C#.Net...","Gurgaon, Noida",  Not disclosed 
RANDSTAD INDIA PVT LTD,5-7 yrs,- Should have worked on a project serving utilities like the R APDRP projects;- 3 years of cumulative ...,https://www.naukri.com/job-listings-Manager-varanasi-in-Noida-RANDSTAD-INDIA-PVT-LTD-Noida-5-to-7-years-270718900208?src=jobsearchDesk&sid=1538417896860&xp=42&px=1,Manager-varanasi in Noida,"Data Analytics, Power Sector, Power Distribution, Analytics, R, APDRP",Noida,  Not disclosed 
RANDSTAD INDIA PVT LTD,5-7 yrs,- Should have worked on a project serving utilities like the R APDRP projects;- 3 years of cumulative ...,https://www.naukri.com/job-listings-Manager-meerut-in-Ghaziabad-RANDSTAD-INDIA-PVT-LTD-Ghaziabad-5-to-7-years-270718900206?src=jobsearchDesk&sid=1538417896860&xp=43&px=1,Manager-meerut in Ghaziabad,"Data Analytics, Power Sector, Power Distribution, R, Analytics",Ghaziabad,  Not disclosed 
Black Turtle India Pvt Ltd,1-6 yrs,N/A,https://www.naukri.com/job-listings-Quantitative-Expert-Model-Validation-C-Black-Turtle-India-Pvt-Ltd-Delhi-NCR-1-to-6-years-011018901854?src=jobsearchDesk&sid=1538417896860&xp=44&px=1,Quantitative Expert - Model Validation - C++,"Administration Management, Python, C++, Data Analytics, Programming...",Delhi NCR,  Not disclosed 
Leinex Consulting,3-5 yrs,He should be a good communicator and work fairly independently;He should be able to work fairly ...,https://www.naukri.com/job-listings-Core-Java-Urgent-Joining-Leading-IT-Org-Gurgaon-Leinex-Consulting-Delhi-NCR-3-to-5-years-011018007914?src=jobsearchDesk&sid=1538417896860&xp=45&px=1,Core Java ( Urgent Joining ) - Leading IT Org | Gurgaon,"Core Java, Hibernate, Spring, Advanced Java, Java Web Services, Rest, MySQL...",Delhi NCR,"    7,00,000 - 10,00,000 P.A.  "
Indian Institute of Technology Delhi,10-15 yrs,N/A,https://www.naukri.com/job-listings-Professor-Data-Analytics-and-Data-Sciences-Indian-Institute-of-Technology-Delhi-Delhi-10-to-15-years-260318900475?src=jobsearchDesk&sid=1538417896860&xp=46&px=1,Professor - Data Analytics and Data Sciences,N/A,Delhi,    Pay Scale: Pay Band : Rs.37400-67000(minimum pay of Rs....  
Indian Institute of Technology Delhi,3-5 yrs,N/A,https://www.naukri.com/job-listings-Assistant-Professor-Grade-I-Data-Analytics-And-Data-Sciences-Indian-Institute-of-Technology-Delhi-Delhi-3-to-5-years-150518900629?src=jobsearchDesk&sid=1538417896860&xp=47&px=1,Assistant Professor (Grade I) - Data Analytics And Data Sciences,N/A,Delhi,    Pay Level 12 (Rs.101500-167400) with minimum Pay of Rs....  
CLARITY CONSULTING,4-8 yrs,Primary Responsibilities:  Analyze large volume of data and define clear strategy in analytical work ...,https://www.naukri.com/job-listings-Senior-Data-Analytics-CLARITY-CONSULTING-Gurgaon-4-to-8-years-270818002293?src=jobsearchDesk&sid=1538417896860&xp=48&px=1,Senior Data Analytics,"data analytics, SAS, SSIS",Gurgaon,  Not disclosed 
Next Step Services Private Limited,9-13 yrs,Candidates should have Banking and Insurance ...,https://www.naukri.com/job-listings-Data-Analytics-Gurgaon-Next-Step-Services-Private-Limited-Gurgaon-9-to-13-years-080818006796?src=jobsearchDesk&sid=1538417896860&xp=49&px=1,Data Analytics - Gurgaon,"Predictive Modeling, statistical modeling, Machine Learning, Analytics",Gurgaon,  Not disclosed 
Dimensions HRD Consultants,6-11 yrs,"- Incumbent must have Operational understanding includes classical regression, statistical methods like ...",https://www.naukri.com/job-listings-Head-Data-Science-Analytics-Financial-Services-Dimensions-HRD-Consultants-Noida-6-to-11-years-180918900697?src=jobsearchDesk&sid=1538417896860&xp=50&px=1,Head - Data Science & Analytics - Financial Services,"Data Science, Analytics, Data Mining, Machine Learning, Factor Analysis...",Noida,  Not disclosed 
